x,y,z,intensity
-5.49717,-2.372,0.104505,8
-3.68626,-1.58984,0.210391,13
-3.66868,-1.58074,0.349495,4
-3.69226,-1.58937,0.493571,10
-3.68535,-1.58564,0.635437,4
-3.69395,-1.58781,0.781554,12
-3.80959,-1.63673,-0.217299,63
-5.52544,-2.37392,1.3884,16
-3.78329,-1.62465,-0.071869,114
-5.50855,-2.36438,1.60623,10
-5.50684,-2.35455,0.10454,14
-5.54462,-2.36956,0.316005,14
-3.67207,-1.56779,0.34932,3
-3.69751,-1.57712,0.493571,10
-3.71603,-1.58425,0.639817,4
-5.51447,-2.34871,1.16508,12
-3.90688,-1.6632,-0.222533,89
-5.55121,-2.36321,1.3929,11
-3.74266,-1.59252,-0.0709964,63
-5.51458,-2.34535,1.60571,11
-5.52014,-2.33861,0.104645,17
-5.54918,-2.34863,0.315795,14
-3.70294,-1.56647,0.351761,12
-3.68626,-1.5579,0.491377,4
-3.71244,-1.56743,0.638253,9
-5.52404,-2.33117,1.16546,15
-3.85901,-1.62773,-0.219497,69
-5.54147,-2.33625,1.3884,11
-3.80532,-1.60352,-0.0720784,100
-5.53164,-2.32983,1.6083,16
-5.53011,-2.32011,0.10468,15
-5.56471,-2.33233,0.316214,12
-3.74541,-1.56828,0.355247,1
-3.699,-1.54809,0.492352,4
-3.71606,-1.5537,0.63794,11
-3.72097,-1.55423,0.783843,9
-3.91656,-1.63512,-0.222428,75
-5.5446,-2.31367,1.38705,15
-3.78321,-1.57867,-0.0715549,89
-3.70683,-1.54604,1.07617,13
-3.70101,-1.53679,0.0699492,15
-5.55806,-2.30677,0.315377,12
-3.71405,-1.53993,0.351761,12
-3.70832,-1.53604,0.49284,9
-3.70686,-1.53468,0.635437,2
-3.73182,-1.54348,0.784988,13
-3.92593,-1.62296,-0.222637,82
-3.72818,-1.54045,0.931297,7
-3.7388,-1.54484,-0.0706124,17
-5.52813,-2.28305,1.60261,11
-5.54618,-2.28144,0.10468,14
-3.71318,-1.52592,0.210391,18
-5.53487,-2.27227,0.523457,3
-3.74645,-1.5373,0.497227,1
-3.73048,-1.52922,0.638566,11
-5.56268,-2.27915,1.16851,8
-3.85366,-1.57815,-0.218241,45
-3.74408,-1.53251,0.933997,13
-3.71826,-1.52118,-0.0701238,8
-5.55752,-2.27251,1.60882,5
-3.69842,-1.50628,0.0697049,11
-5.59213,-2.27642,0.316423,17
-5.56822,-2.26441,0.525898,6
-3.72053,-1.51151,0.493083,16
-5.58407,-2.26746,0.954563,22
-5.57424,-2.2612,1.16928,11
-3.91838,-1.5887,-0.22159,87
-5.59703,-2.26817,1.39425,8
-3.72328,-1.50884,-0.0701238,4
-3.72971,-1.51069,1.07824,13
-5.5727,-2.24812,0.104889,14
