x,y,z,intensity
-3.92732,1.42943,0.0729511,29
-5.79485,2.11144,0.323227,13
-5.80656,2.11686,0.540714,18
-5.80321,2.11793,0.758515,12
-5.79448,2.11704,0.97709,32
-3.92754,1.43572,0.812846,19
-3.91997,1.4345,0.96369,16
-4.471,1.63704,-0.0831084,21
-5.76113,2.11056,1.64402,16
-5.77273,2.12395,0.107367,31
-3.92452,1.4455,0.219183,18
-5.7954,2.13574,0.540366,33
-3.92407,1.44767,0.513557,20
-5.78891,2.13793,0.977403,21
-5.77511,2.13399,1.19675,22
-5.76457,2.13238,1.41899,22
-3.92515,1.45274,-0.0730558,14
-5.76098,2.13334,1.64609,19
-5.76528,2.14409,0.107367,18
-5.79158,2.15502,0.323855,21
-3.92271,1.46118,0.366228,32
-5.76596,2.15007,0.75559,23
-5.78549,2.1585,0.978028,34
-3.92294,1.46517,0.813991,13
-5.76987,2.15727,1.42214,15
-4.13197,1.54488,-0.077,43
-5.74663,2.14972,1.64402,18
-5.77499,2.16952,0.107681,28
-5.77841,2.17311,0.323541,16
-5.78594,2.17825,0.540889,34
-3.91598,1.47504,0.513801,14
-5.77237,2.17659,0.97709,43
-5.75861,2.17255,1.19637,16
-5.75722,2.17432,1.42079,15
-4.03489,1.52466,-0.0752897,40
-3.91039,1.47839,1.12017,17
-5.76551,2.18896,0.107646,38
-5.76519,2.19114,0.323227,16
-5.7731,2.1953,0.540366,20
-5.75861,2.19209,0.756565,28
-3.92622,1.49614,0.665472,13
-5.76017,2.19614,1.19828,19
-5.74413,2.19232,1.41944,21
-4.07812,1.55728,-0.0761972,40
-5.75495,2.19875,1.65075,17
-3.8983,1.49564,0.0728813,21
-5.76123,2.21268,0.323436,25
-5.77284,2.2183,0.541063,25
-5.76389,2.21717,0.758271,21
-5.76257,2.21897,0.978028,47
-5.76712,2.22188,1.20133,15
-3.89278,1.50132,0.96324,13
-4.08758,1.57727,-0.0764764,39
-3.89637,1.50427,1.11913,32
-5.74449,2.22699,0.107542,39
-3.91199,1.51815,0.219916,16
-5.7632,2.23771,0.540889,36
