x,y,z,intensity
-3.03988,3.45414,0.080316,13
-3.04816,3.46599,0.241897,14
-3.03257,3.44826,-0.892605,7
-3.06512,3.4865,0.406146,46
-3.01618,3.43203,-0.723666,13
-3.04744,3.46883,0.566936,55
-3.02588,3.4455,-0.563036,13
-3.04826,3.47221,0.731801,30
-3.03508,3.4572,-0.402485,16
-3.03673,3.46028,0.894894,39
-3.03075,3.4547,-0.24085,14
-3.04648,3.47385,1.06672,15
-3.04247,3.47049,-0.0805603,13
-3.02652,3.45351,1.23043,14
-3.02517,3.46172,0.0802462,13
-3.01765,3.45555,0.240431,14
-3.0076,3.44403,-0.888788,8
-3.04245,3.48517,0.404751,42
-3.00678,3.44552,-0.724292,14
-3.02879,3.47197,0.565718,49
-3.00079,3.44108,-0.560599,13
-3.02314,3.46794,0.728672,52
-3.01645,3.46026,-0.401614,13
-3.03495,3.4827,0.897947,69
-3.01343,3.45923,-0.240431,14
-3.0177,3.46536,1.06087,13
-3.01852,3.46752,-0.0802462,13
-3.0081,3.45677,1.22784,15
-3.00521,3.46319,0.0800367,13
-3.00094,3.4595,0.240013,14
-2.98527,3.44265,-0.885735,8
-3.02896,3.49426,0.404577,45
-2.98826,3.44853,-0.722727,13
-3.00626,3.47052,0.563768,40
-2.98486,3.44703,-0.559868,14
-2.99611,3.46002,0.724917,57
-3.00305,3.46926,-0.401439,16
-3.02277,3.49328,0.897947,31
-2.98827,3.45462,-0.239385,14
-2.99157,3.45965,1.05592,24
-2.99262,3.46087,-0.0798622,13
-2.98904,3.45796,1.22473,15
-2.98587,3.46405,0.0798273,13
-2.98494,3.46541,0.239699,16
-2.96299,3.44114,-0.882683,9
-2.99725,3.48216,0.401962,46
-2.96264,3.44195,-0.719286,14
-2.98696,3.47144,0.562305,39
-2.96823,3.45089,-0.558893,14
-2.98144,3.46747,0.724292,57
-2.96754,3.45253,-0.398302,15
-2.97406,3.4601,0.88688,43
-2.9794,3.46754,-0.239594,15
-2.98897,3.4799,1.05907,67
-2.97791,3.46826,-0.0797924,13
-2.96563,3.45518,1.22007,17
-2.96076,3.45926,0.0794783,12
-2.96893,3.47126,0.239385,14
-2.94646,3.44498,-0.881156,8
-2.97403,3.47846,0.400393,45
-2.94162,3.44176,-0.717096,14
-2.97483,3.48184,0.562305,40
-2.9523,3.4567,-0.558162,13
-2.96804,3.47635,0.723979,37
-2.94642,3.45225,-0.397082,15
-2.95304,3.46001,0.884209,64
-2.9582,3.46729,-0.238861,15
-2.9768,3.49031,1.05907,37
-2.94503,3.45429,-0.0792339,13
-2.94478,3.45522,1.21645,20
-2.94349,3.46348,0.0793386,12
-2.95421,3.47856,0.239175,14
-2.93,3.45127,-0.880011,9
-2.96255,3.49085,0.400568,49
-2.9226,3.44499,-0.715531,14
-2.94339,3.4695,0.558649,45
-2.92866,3.45336,-0.555968,13
-2.94311,3.47162,0.72085,38
-2.93564,3.46404,-0.397256,16
-2.93653,3.46632,0.883064,72
-2.93128,3.46134,-0.23771,28
-2.95014,3.48484,1.05412,34
-2.93554,3.4676,-0.0793037,13
-2.92147,3.4522,1.21179,36
-2.91788,3.45896,0.0789896,12
-2.92145,3.46442,0.237501,14
-2.90528,3.44646,-0.876195,11
-2.9465,3.4966,0.400045,51
-2.90292,3.4461,-0.713654,14
-2.9217,3.46963,0.556943,49
-2.90704,3.45344,-0.554262,13
-2.92334,3.47281,0.718973,38
-2.91583,3.46512,-0.39621,13
-2.92442,3.47655,0.883064,69
-2.90761,3.45779,-0.236768,35
-2.90535,3.45633,1.04242,57
-2.9157,3.46864,-0.0790943,13
-2.91313,3.46681,1.21334,58
-2.90382,3.46555,0.0789198,12
-2.89908,3.46234,0.236663,14
-2.88567,3.44755,-0.873905,11
-2.93044,3.50228,0.399522,54
-2.8864,3.44965,-0.712403,14
-2.91273,3.48235,0.55743,30
-2.88665,3.4524,-0.552556,13
-2.89853,3.46783,0.715844,37
-2.89478,3.46457,-0.39499,15
-2.90028,3.47116,0.879248,45
-2.891,3.46128,-0.236349,35
-2.89013,3.46146,1.04107,70
-2.8882,3.46038,-0.0786754,13
-2.90225,3.47845,1.21386,42
-2.8802,3.46183,0.0786056,10
-2.88442,3.46937,0.236454,14
-2.86669,3.44804,-0.871616,9
-2.91244,3.50432,0.39865,55
-2.86803,3.45211,-0.710838,14
-2.91197,3.50624,0.559624,33
-2.86951,3.45635,-0.551581,13
-2.87632,3.46577,0.713341,41
-2.87564,3.46495,-0.393944,13
-2.8869,3.47975,0.878866,42
-2.87508,3.46674,-0.236035,28
