x,y,z,intensity
-4.20076,0.0711244,0.073335,57
-4.23356,0.0731569,0.221904,51
-4.21525,0.0735775,0.368843,62
-4.2227,0.0744446,-0.668914,30
-4.20178,0.0748083,0.515995,51
-4.21367,0.0757567,-0.517457,50
-4.22858,0.076763,0.669852,50
-4.23114,0.0768094,-0.370238,52
-4.22029,0.0773492,0.820479,70
-4.22348,0.078145,-0.221381,54
-4.2027,0.0784943,0.970439,61
-4.21861,0.0795289,-0.0736492,53
-4.21647,0.0802237,1.13,67
-4.22648,0.0863183,0.0737888,63
-4.2213,0.0876866,0.221276,51
-4.21896,0.0883746,0.369192,62
-4.23624,0.0894753,-0.671104,27
-4.22729,0.0900253,0.519163,54
-4.21338,0.0904648,-0.517457,48
-4.24014,0.0917787,0.67173,50
-4.24678,0.0919224,-0.371632,52
-4.23962,0.0925087,0.824295,69
-4.21919,0.0927996,-0.221172,55
-4.21214,0.093379,0.972688,59
-4.2363,0.0946553,-0.0739633,61
-4.23548,0.0953765,1.13518,62
-4.22615,0.10107,0.0737888,61
-4.23096,0.101924,0.2218,46
-4.23854,0.103587,0.370935,67
-4.24775,0.104554,-0.672981,27
-4.23489,0.104978,0.520138,52
-4.21304,0.105171,-0.517457,49
-4.23981,0.105839,0.67173,50
-4.24245,0.106647,-0.371283,52
-4.24908,0.107556,0.826203,66
-4.2428,0.108136,-0.222428,54
-4.22348,0.108383,0.975388,60
-4.22197,0.108344,-0.073719,58
-4.24093,0.109571,1.13673,56
-4.23179,0.115247,0.0738935,64
-4.24456,0.117079,0.222533,52
-4.22819,0.118103,0.370063,63
-4.2454,0.118584,-0.672668,28
-4.23848,0.119132,0.520626,51
-4.24045,0.119927,-0.52087,47
-4.24534,0.120807,0.672668,45
-4.24803,0.121626,-0.371806,59
-4.26244,0.122039,0.828874,67
-4.24441,0.122263,-0.222533,52
-4.23089,0.122613,0.977187,55
-4.24355,0.123722,-0.0741029,60
-4.22314,0.123864,1.13207,56
-4.22536,0.129834,0.0737888,61
-4.2561,0.132266,0.223161,52
-4.23375,0.132311,0.370586,67
-4.25484,0.133714,-0.674233,27
-4.25193,0.134365,0.522332,49
-4.24397,0.134854,-0.521357,46
-4.25082,0.135816,0.673607,52
-4.24163,0.135522,-0.371283,56
-4.24433,0.136349,0.82544,67
-4.25394,0.137401,-0.223056,54
-4.24796,0.137951,0.981236,55
-4.25309,0.13886,-0.0742774,53
-4.2362,0.139048,1.1357,62
-4.24287,0.145198,0.0741029,64
-4.25961,0.14726,0.22337,55
-4.2472,0.147573,0.371806,63
-4.24842,0.148358,-0.673294,24
-4.24152,0.148858,0.521113,51
-4.25935,0.150228,-0.523307,46
-4.26414,0.151143,0.675797,48
-4.26502,0.151174,-0.373375,56
-4.25364,0.151513,0.827348,70
-4.25144,0.152179,-0.222951,51
-4.25135,0.152918,0.982136,55
-4.27056,0.154355,-0.0745916,60
-4.23376,0.153765,1.13518,65
-4.24833,0.160233,0.0742076,59
-4.25108,0.161824,0.222951,52
-4.26856,0.163235,0.373724,67
-4.26564,0.163869,-0.67611,26
-4.24295,0.163739,0.521357,50
-4.23896,0.164327,-0.52087,48
-4.26556,0.166102,0.67611,53
-4.27641,0.166525,-0.374421,50
-4.26093,0.166667,0.828874,69
-4.26086,0.16741,-0.223475,53
-4.243,0.167449,0.980337,55
-4.26001,0.168865,-0.0744171,48
-4.25636,0.169465,1.14139,59
-4.27372,0.176133,0.0746614,65
-4.26446,0.177242,0.223684,49
-4.27195,0.178301,0.374072,67
-4.27097,0.179006,-0.677048,24
-4.26417,0.179466,0.524038,51
-4.26216,0.180127,-0.523794,49
-4.261,0.180824,0.675484,50
-4.28178,0.181705,-0.374944,59
-4.28582,0.182627,0.833835,66
-4.26624,0.182537,-0.223789,52
-4.25407,0.182761,0.983036,57
-4.26938,0.184166,-0.0745916,60
-4.25767,0.184404,1.14191,70
-4.26509,0.190693,0.0745218,57
-4.26984,0.191651,0.223998,52
-4.26135,0.192761,0.373201,63
-4.28018,0.194361,-0.678613,26
-4.27145,0.194712,0.525013,51
-4.2615,0.195004,-0.523794,48
-4.27222,0.195495,0.677361,52
-4.27514,0.196375,-0.374421,57
-4.28124,0.197405,0.833072,66
-4.28752,0.198444,-0.22494,59
-4.27093,0.198423,0.987085,59
-4.26675,0.198229,-0.0745567,52
-4.25318,0.198343,1.14087,58
-4.27442,0.205315,0.0746963,63
-4.28311,0.20723,0.224731,49
