x,y,z,intensity
-0.136693,-2.73617,-0.0478196,5
-0.0273276,-0.514568,-0.0270054,29
-0.145496,-2.7217,-0.0475753,7
-0.0322843,-0.570303,-0.0299362,26
-0.156247,-2.74314,-0.0479592,10
-0.041705,-0.693794,-0.0364258,20
-0.1657,-2.74058,-0.0479243,10
-0.047677,-0.749454,-0.0393566,17
-0.173642,-2.72205,-0.0476102,12
-0.0525633,-0.785163,-0.0412407,15
-0.183814,-2.73141,-0.0477847,13
-0.0571285,-0.810875,-0.0426015,13
-0.192589,-2.72679,-0.0477149,14
-0.0377366,-0.51265,-0.0449724,71
-0.0593763,-0.804705,-0.0422875,14
-0.20181,-2.72211,-0.0476451,15
-0.0631083,-0.816441,-0.0429155,13
-0.21193,-2.72937,-0.0477847,15
-0.0416349,-0.516345,-0.045321,71
-0.068035,-0.840093,-0.0441716,12
-0.221133,-2.72462,-0.0477149,15
-0.0427687,-0.508255,-0.0446237,72
-0.0702943,-0.83189,-0.0437529,12
-0.230304,-2.71985,-0.0476451,15
-0.0702563,-0.799818,-0.0420781,14
-0.240324,-2.72501,-0.0477498,12
-0.0476719,-0.523826,-0.0460182,70
-0.0737747,-0.807524,-0.0424968,14
-0.249359,-2.72419,-0.0477498,12
-0.0487502,-0.515722,-0.045321,71
-0.0768287,-0.811252,-0.0427061,13
-0.256786,-2.70141,-0.0473658,10
-0.0513277,-0.52348,-0.0460182,70
-0.0817575,-0.830841,-0.0437529,12
-0.260328,-2.6408,-0.0463187,7
-0.0540528,-0.531217,-0.0467155,69
-0.0839906,-0.822589,-0.0433342,13
-0.264919,-2.59009,-0.0454461,9
-0.0538206,-0.511211,-0.0449724,71
-0.0877008,-0.830235,-0.0437529,12
-0.26996,-2.55137,-0.0447829,10
-0.0556048,-0.51102,-0.0449724,71
-0.0874239,-0.802143,-0.0422875,14
-0.261911,-2.39536,-0.0420603,7
-0.0568549,-0.506873,-0.0446237,72
-0.0888834,-0.789924,-0.0416594,14
-0.265374,-2.35473,-0.0413622,9
-0.0609139,-0.526463,-0.0463669,69
-0.0938015,-0.809465,-0.0427061,13
-0.269667,-2.32002,-0.0407688,11
-0.0631305,-0.530215,-0.0467155,69
-0.098521,-0.824998,-0.0435435,19
-0.277359,-2.31912,-0.0407688,15
-0.0615864,-0.502306,-0.0442751,72
-0.100283,-0.816737,-0.0431248,13
-0.285452,-2.31814,-0.0407688,15
-0.0649253,-0.513937,-0.045321,71
-0.100908,-0.796532,-0.0420781,21
-0.296367,-2.33289,-0.0410481,11
-0.0672321,-0.517658,-0.0456696,70
-0.107299,-0.823902,-0.0435435,12
-0.307616,-2.35564,-0.0414669,8
-0.0716737,-0.537169,-0.0474127,67
-0.107261,-0.801747,-0.0423921,21
-0.315571,-2.35257,-0.041432,7
-0.0692219,-0.505333,-0.0446237,72
-0.112504,-0.819176,-0.0433342,13
-0.319144,-2.31777,-0.0408386,8
-0.0726492,-0.516926,-0.0456696,70
-0.113691,-0.806912,-0.0427061,13
-0.322918,-2.28898,-0.04035,10
-0.0733165,-0.508781,-0.0449724,71
-0.115796,-0.802577,-0.0424968,21
-0.330906,-2.28784,-0.04035,14
-0.0761661,-0.516419,-0.0456696,70
-0.117428,-0.794264,-0.0420781,14
-0.338304,-2.28272,-0.0402802,19
-0.0761827,-0.50433,-0.0446237,72
-0.122592,-0.809648,-0.0429155,20
-0.344469,-2.26966,-0.0400707,27
-0.0822052,-0.531627,-0.0470641,68
-0.1245,-0.803294,-0.0426015,20
-0.350767,-2.2606,-0.0399311,32
-0.0846831,-0.535273,-0.0474127,67
-0.128725,-0.81274,-0.0431248,13
-0.359283,-2.26331,-0.0400009,31
-0.0845505,-0.523188,-0.0463669,69
-0.131561,-0.812286,-0.0431248,13
-0.368463,-2.26994,-0.0401405,28
-0.0850774,-0.515026,-0.0456696,70
-0.130482,-0.788176,-0.0418688,14
-0.375403,-2.26272,-0.0400358,26
-0.0882009,-0.522585,-0.0463669,69
-0.138561,-0.819224,-0.0435435,12
-0.380901,-2.24963,-0.0398264,25
-0.0886708,-0.51442,-0.0456696,70
-0.13924,-0.806951,-0.0429155,20
-0.388411,-2.24632,-0.0397915,20
-0.0890848,-0.506258,-0.0449724,71
-0.142056,-0.80646,-0.0429155,13
-0.396249,-2.24495,-0.0397915,18
-0.0950771,-0.529476,-0.0470641,68
-0.141474,-0.786277,-0.0418688,14
-0.0962067,-0.525222,-0.0467155,69
-0.143496,-0.78185,-0.0416594,14
-0.100234,-0.536634,-0.0477613,67
-0.149025,-0.797076,-0.0424968,14
-0.0990349,-0.52064,-0.0463669,69
-0.154797,-0.812246,-0.0433342,13
-0.0982627,-0.514623,-0.00914506,47
-0.0993352,-0.512467,-0.0456696,70
-0.159155,-0.819543,-0.0437529,12
-0.101895,-0.516027,-0.0460182,70
-0.158914,-0.803309,-0.0429155,13
-0.107624,-0.535201,-0.0477613,67
-0.163295,-0.810581,-0.0433342,13
-0.239731,-1.18787,-0.0211523,10
-0.106295,-0.519207,-0.0463669,69
-0.166123,-0.810006,-0.0433342,13
-0.108106,-0.518833,-0.0463669,69
-0.167317,-0.8016,-0.0429155,13
-0.245972,-1.17638,-0.0209778,12
-0.112303,-0.530166,-0.0474127,67
-0.17412,-0.820579,-0.0439622,12
-0.114153,-0.529771,-0.0474127,67
-0.174455,-0.808252,-0.0433342,13
-0.110717,-0.512088,-0.00914506,47
-0.116002,-0.529369,-0.0474127,67
-0.178988,-0.815442,-0.0437529,12
-0.257868,-1.17383,-0.0209778,21
-0.120449,-0.540629,-0.0484586,66
-0.180387,-0.808995,-0.0434388,13
-0.114326,-0.505248,-0.045321,71
-0.1863,-0.821996,-0.0441716,12
-0.263843,-1.16225,-0.0208033,13
