x,y,z,intensity
1.10713,0.769762,-0.361311,75
1.10838,0.770346,0.0235607,73
1.10268,0.766094,-0.309983,100
1.09582,0.761046,0.0699208,70
1.09974,0.763767,-0.260263,85
1.11619,0.774907,0.11888,81
1.11653,0.774854,-0.215254,100
1.09606,0.760365,0.163792,88
1.10435,0.765831,-0.165011,96
1.09421,0.758514,0.210874,75
1.12164,0.777533,-0.119403,100
1.12151,0.777152,0.265225,74
1.10988,0.768805,-0.0707582,89
1.08786,0.753268,0.305484,87
1.10657,0.76594,-0.0234909,88
1.10093,0.761752,0.358723,82
1.10663,0.763698,-0.360276,75
1.11106,0.766472,0.0235607,73
1.1278,0.777729,-0.316281,100
1.10669,0.762884,0.0704442,73
1.10563,0.762152,-0.261027,82
1.11889,0.771006,0.11888,82
1.12248,0.773193,-0.21588,97
1.10852,0.76329,0.165255,92
1.11356,0.766473,-0.165986,96
1.10336,0.759169,0.212125,77
1.10794,0.762319,-0.11766,100
1.12422,0.773232,0.265225,78
1.12737,0.77511,-0.0717003,94
1.10493,0.7594,0.309533,93
1.11913,0.768867,-0.0237004,90
1.09881,0.754624,0.35717,78
1.11885,0.766381,-0.363382,67
1.11373,0.762589,0.0235607,73
1.12729,0.771586,-0.315381,100
1.11594,0.763527,0.0708629,67
1.118,0.76494,-0.263316,85
1.12815,0.771594,0.119578,81
1.11865,0.764811,-0.214628,100
1.11118,0.759415,0.165255,92
1.12934,0.771539,-0.167936,94
1.11905,0.764225,0.214628,75
1.12375,0.767436,-0.119055,100
1.11232,0.759341,0.26179,65
1.12677,0.768918,-0.0714909,94
1.10919,0.756637,0.309983,87
1.13172,0.771716,-0.0239098,88
1.10622,0.754048,0.358723,85
1.12152,0.762471,-0.363382,68
1.1197,0.760945,0.0236306,74
1.12353,0.763266,-0.313582,100
1.12355,0.762994,0.0711769,71
1.13366,0.769856,-0.266369,82
1.14073,0.774366,0.120624,78
1.13112,0.767557,-0.216505,100
1.11546,0.756647,0.165499,99
1.12874,0.765365,-0.167448,96
1.12171,0.760314,0.214628,79
1.11818,0.757919,-0.118183,99
1.12471,0.762061,0.26408,67
1.12283,0.7605,-0.0710722,87
1.11828,0.75713,0.311782,88
1.14103,0.772243,-0.0240494,86
1.12005,0.757759,0.362347,85
1.13699,0.767196,-0.367523,68
1.13229,0.763741,0.02384,70
1.13265,0.763698,-0.315381,100
1.12455,0.757951,0.0710722,73
1.13471,0.764797,-0.265988,80
