x,y,z,intensity
0.167409,0.486468,-0.118774,60
0.171981,0.499188,0.0461925,15
0.176703,0.512313,0.0665407,16
0.17924,0.51908,0.0869776,13
0.161763,0.465306,-0.131998,16
0.178074,0.511647,-0.125073,57
0.186834,0.536214,0.0496788,14
0.194076,0.55575,0.0932349,12
0.165625,0.470582,-0.115175,62
0.194002,0.550591,0.0510733,13
0.180276,0.511066,0.0665407,16
0.183008,0.518523,-0.0675156,16
0.18286,0.517816,0.0869776,13
0.190573,0.534896,0.0496788,14
0.182059,0.510434,0.0665407,16
0.197951,0.554381,0.0932349,12
0.172483,0.48199,-0.00893563,48
0.172563,0.479836,0.00890073,16
0.168907,0.469414,-0.115175,62
0.178935,0.496738,0.0461925,15
0.174411,0.483652,0.0631283,17
0.173149,0.479887,-0.0626408,17
0.178421,0.49423,0.0832231,13
0.207425,0.574259,0.118683,12
0.174164,0.481385,-0.00893563,48
0.1852,0.509111,-0.125073,57
0.180667,0.496111,0.0461925,15
0.171772,0.471427,-0.0794687,53
0.188272,0.515873,0.0869776,13
0.175758,0.481324,0.0996023,14
0.17218,0.468223,-0.115175,62
0.187904,0.510435,0.047587,14
0.187394,0.5085,0.0665407,16
0.173663,0.470733,0.0794687,14
0.195846,0.530865,-0.0495045,32
0.211429,0.572797,0.118683,12
0.18196,0.489539,-0.120574,59
0.184127,0.494837,0.0461925,15
0.175309,0.470638,0.0616659,17
0.175391,0.470607,-0.0616659,17
0.183587,0.492335,0.0832231,13
0.213428,0.572055,0.118683,12
0.175444,0.46701,-0.115175,62
0.197074,0.524029,0.0489815,14
0.193574,0.513907,0.0869776,13
0.190487,0.505175,0.104945,14
0.185289,0.488289,-0.120574,59
0.181914,0.47864,0.0447981,15
0.182742,0.480567,0.0631283,17
0.189745,0.498459,0.0844746,13
0.177224,0.462166,-0.114275,62
0.189212,0.492915,0.0461925,15
0.194232,0.505202,0.0857261,13
0.184048,0.478215,0.0996023,14
0.188608,0.487017,-0.120574,59
0.185168,0.477391,0.0447981,15
0.178586,0.460423,-0.0782172,54
0.1817,0.468208,0.0616659,17
0.18455,0.47506,0.0807202,14
0.199858,0.5142,0.107235,13
0.18239,0.465643,0.0437522,16
0.18913,0.482356,0.0636158,17
0.183415,0.467539,-0.0616659,17
0.186207,0.474413,0.0807202,14
0.187299,0.476951,0.0996023,14
0.188413,0.476119,0.0447981,15
0.190813,0.481692,0.0636158,17
0.185046,0.466896,-0.0616659,17
0.184949,0.466415,0.0794687,14
0.188963,0.476294,0.0996023,14
0.18675,0.467381,0.0263773,10
0.19599,0.490259,0.0461925,15
0.191018,0.477337,0.0631283,17
0.186576,0.465766,0.0794687,14
0.196467,0.490211,0.102655,14
0.211873,0.528117,0.131371,10
0.189557,0.469878,-0.116975,61
0.203669,0.504352,0.047587,14
0.189683,0.468774,0.0800945,14
0.192284,0.474964,0.0996023,14
0.192349,0.474411,-0.00893563,48
0.184278,0.452688,-0.130962,17
0.188873,0.463051,0.0437522,16
0.186834,0.457138,0.0782172,14
0.215555,0.526625,0.131371,10
0.201113,0.48818,0.0461925,15
0.200547,0.486322,0.0645908,16
0.199117,0.482617,-0.0641033,17
0.189936,0.460135,0.078843,14
0.210583,0.509902,0.107235,13
0.196399,0.472749,0.00893563,16
0.196694,0.472759,0.0447981,15
0.193085,0.463629,0.0616659,17
0.196101,0.470409,0.0807202,14
0.192712,0.462052,0.0973126,15
0.197607,0.470779,-0.117874,61
0.199886,0.475743,0.0451467,15
0.203937,0.48491,0.0645908,16
0.194676,0.462439,0.0794687,14
0.221058,0.524339,0.131371,10
0.201545,0.475042,0.0451467,15
0.194744,0.458121,0.078843,14
0.19286,0.453469,0.0957861,15
0.196288,0.458639,-0.115175,62
0.209479,0.488987,0.0465412,15
0.207317,0.483475,0.0645908,16
0.196342,0.457438,0.078843,14
0.202188,0.470833,0.0996023,14
0.224713,0.522783,0.131371,10
0.209603,0.484596,0.0461925,15
0.215313,0.497321,0.0665407,16
0.197937,0.45675,0.078843,14
0.203831,0.470124,0.0996023,14
0.226537,0.521995,0.131371,10
0.211293,0.483861,0.0461925,15
0.210616,0.481393,0.0832231,13
0.202321,0.462216,0.0980758,15
0.228357,0.521201,0.131371,10
0.205793,0.467259,-0.117874,61
0.208159,0.472182,0.0451467,15
0.204233,0.462621,0.0800945,14
0.209063,0.469122,0.0813459,14
0.200666,0.450069,0.0957861,15
0.21564,0.47982,0.0645908,16
0.20434,0.454253,-0.0435779,37
0.219962,0.488753,0.104182,14
0.217944,0.480902,0.0461925,15
0.223874,0.493527,0.0665407,16
0.207433,0.456859,0.0794687,14
0.220043,0.484407,0.103418,14
0.235522,0.518003,0.131371,10
0.204116,0.446653,-0.113375,63
0.214649,0.469267,0.0451467,15
0.20738,0.452541,0.078843,14
0.21355,0.465789,0.0996023,14
0.217956,0.472133,0.0454953,15
0.215593,0.466157,0.0813459,14
0.239132,0.516346,0.131371,10
0.211189,0.453309,0.0437522,16
0.210535,0.451082,0.078843,14
0.216797,0.464287,0.0996023,14
0.208783,0.444491,-0.113375,63
0.218842,0.464641,0.0813459,14
0.223437,0.474183,0.101892,14
0.214348,0.451824,0.0437522,16
0.225641,0.475199,0.0645908,16
0.215374,0.45317,0.0794687,14
0.220033,0.462762,0.0996023,14
0.229688,0.479826,0.0465412,15
0.228913,0.477351,0.0838489,13
0.228441,0.476152,0.102655,14
0.236561,0.489786,0.047587,14
0.225497,0.466463,0.0636158,17
0.228775,0.473033,0.0832231,13
0.223258,0.461215,0.0996023,14
0.22696,0.46513,0.0819717,13
0.233399,0.478115,0.103418,14
0.227587,0.463131,0.0451467,15
0.230327,0.46788,0.0825974,13
0.240271,0.487864,0.105708,13
0.241592,0.487324,0.047587,14
0.240876,0.485455,0.0665407,16
0.226687,0.456457,0.0807202,14
0.227995,0.458892,0.0996023,14
0.237945,0.475786,0.0465412,15
0.253232,0.505913,0.0694655,15
0.235357,0.469793,0.0832231,13
0.240152,0.479155,0.104182,14
0.244988,0.485626,0.047587,14
0.24426,0.483762,0.0665407,16
0.229868,0.454864,0.0807202,14
0.228184,0.448611,0.0263773,10
0.239453,0.470562,0.0461925,15
0.245947,0.482906,0.0665407,16
0.240425,0.471658,0.0838489,13
0.277384,0.543927,0.118683,12
0.248372,0.483904,0.047587,14
0.256702,0.499702,0.0689781,15
0.234844,0.456761,0.0813459,14
0.227757,0.442976,-0.0435779,37
0.245156,0.476614,0.104182,14
0.235404,0.454724,0.0447981,15
0.249312,0.481178,0.0665407,16
0.252806,0.487504,0.0869776,13
0.259122,0.496287,0.0489815,14
0.269378,0.515491,0.0714154,14
0.236196,0.45161,0.0807202,14
0.238573,0.453069,0.0447981,15
0.245261,0.465376,0.0645908,16
0.256203,0.485727,0.0869776,13
0.284951,0.540001,0.118683,12
0.240153,0.452234,0.0447981,15
0.254337,0.47854,0.0665407,16
0.257897,0.48483,0.0869776,13
0.286834,0.539003,0.118683,12
0.24173,0.451393,0.0447981,15
0.256006,0.47765,0.0665407,16
0.285733,0.532668,0.0957379,11
0.239961,0.446963,-0.0265867,15
0.241411,0.44704,0.0444494,15
0.257672,0.476753,0.0665407,16
0.261276,0.483018,0.0869776,13
0.250593,0.460193,0.0458439,15
0.26296,0.482103,0.0869776,13
0.273294,0.497737,0.0496788,14
0.260994,0.474943,0.0665407,16
0.28661,0.517697,0.0517705,13
0.245423,0.442573,-0.0442751,36
0.255398,0.457544,0.0458439,15
0.264303,0.473109,0.0665407,16
0.256994,0.456649,0.0458439,15
0.268336,0.473125,0.047587,14
0.319336,0.558722,0.0563026,11
0.265217,0.463471,-0.0655657,16
0.714468,1.24804,0.227769,1
0.498575,0.870562,0.195007,1
0.255342,0.443695,0.00893563,16
0.2528,0.4391,-0.116975,61
0.321382,0.557548,0.0563026,11
0.742517,1.2866,0.235277,1
0.501763,0.868729,0.195007,1
0.250494,0.43143,-0.115175,62
0.28729,0.494407,0.0500274,13
0.813322,1.39855,0.198647,1
