x,y,z,intensity
-2.27578,0.351496,-0.617025,8
-5.56896,0.861124,0.0983618,2
-5.54623,0.858603,0.294128,46
-5.57376,0.864855,0.493476,49
-4.1733,0.648299,-0.668914,9
-5.57069,0.866371,0.692218,48
-4.37798,0.681658,-0.544025,10
-5.60574,0.872823,0.89856,46
-5.03178,0.784358,-0.44554,40
-5.63893,0.880007,1.10936,49
-5.65662,0.884792,1.32181,47
-5.5793,0.872698,-0.0985712,2
-5.6876,0.890654,1.54256,33
-2.265,0.35793,-0.614436,22
-5.58977,0.883333,0.0987806,2
-2.61196,0.413226,-0.610517,1
-5.53728,0.877019,0.293814,48
-5.58448,0.886492,0.494696,52
-4.17503,0.662753,-0.66954,9
-5.57759,0.886397,0.693437,45
-4.37569,0.696173,-0.544025,10
-5.61241,0.893941,0.900124,47
-5.03492,0.802857,-0.446063,28
-5.64179,0.899629,1.11051,47
-5.64596,0.902315,1.32001,47
-5.55647,0.889007,-0.0982221,2
-5.68828,0.911113,1.5436,39
-2.25808,0.364516,-0.612884,28
-5.58666,0.902839,0.0987806,4
-2.66051,0.430433,-0.622215,1
-5.53813,0.896981,0.294023,48
-5.58151,0.905006,0.494696,54
-4.17854,0.678273,-0.670478,4
-5.57838,0.906498,0.693924,46
-4.38499,0.713355,-0.545487,10
-5.59366,0.910985,0.897621,47
-5.03405,0.820748,-0.446237,26
-5.64831,0.920897,1.11242,49
-5.64662,0.922646,1.32091,43
-5.5415,0.906461,-0.0980127,2
-5.68125,0.93034,1.54256,39
-2.2472,0.371215,-0.610295,37
-5.55585,0.917771,0.098292,4
-2.60901,0.43145,-0.610517,1
-5.54285,0.917612,0.294442,50
-5.56636,0.923501,0.49365,54
-4.18382,0.694878,-0.67173,8
-5.58302,0.927266,0.694899,46
-5.0326,0.836751,-0.626409,2
-5.59629,0.931478,0.89856,43
-5.01936,0.836351,-0.445192,16
-5.64296,0.941271,1.11203,47
-5.65089,0.94462,1.32271,43
-5.56197,0.929755,-0.0984316,2
-5.67034,0.948891,1.54049,33
-2.24779,0.379379,-0.610813,38
-5.59188,0.944793,0.0989901,2
-2.64584,0.447509,-0.619515,1
-5.53764,0.936621,0.294337,42
-5.5631,0.942926,0.49365,46
-4.18137,0.709477,-0.67173,3
-5.57175,0.946393,0.693924,37
-0.583187,0.0991622,-0.0726341,14
-5.59885,0.952,0.899498,37
-5.04587,0.85888,-0.447806,2
-5.62609,0.958653,1.10936,43
-5.65524,0.965653,1.32451,39
-5.58234,0.953205,-0.0988504,2
-5.66509,0.968351,1.53997,33
-2.25407,0.388536,-0.612884,38
-5.59266,0.96401,0.0990599,2
-2.63282,0.454293,-0.616816,1
-5.52253,0.953907,0.293709,27
-3.90005,0.674356,-0.769342,1
-5.57352,0.964716,0.49487,31
-4.23544,0.733109,-0.680803,1
-5.56859,0.964865,0.693924,20
-0.575031,0.0997386,-0.0716592,15
-5.60522,0.973227,0.901063,27
-0.610481,0.106107,-0.0542109,28
-5.61708,0.976296,1.10822,33
-5.65393,0.984733,1.32496,21
-5.6769,0.990778,1.54411,27
-2.25467,0.396343,-0.613401,35
-2.63505,0.464156,-0.617716,1
-5.51523,0.972485,0.2935,13
-5.57421,0.983886,0.495219,25
-5.56909,0.984988,0.694412,12
-0.559042,0.0989766,-0.0697093,15
-5.59596,0.991754,0.900124,14
-0.610107,0.108237,-0.0542109,28
-5.63103,0.998984,1.11165,33
-5.63127,1.00105,1.32046,13
-5.66961,1.00991,1.54308,6
-2.2437,0.402896,-0.610813,31
-2.63342,0.473352,-0.617716,1
-5.51967,0.993144,0.293919,9
-5.57449,1.00502,0.495568,14
-5.58516,1.00795,0.696849,8
-0.523531,0.0945753,-0.065322,16
-5.59052,1.01093,0.899811,7
-0.609725,0.110366,-0.0542109,28
-5.62154,1.01857,1.11051,21
-5.64098,1.02412,1.32361,6
-5.74398,1.04386,1.5643,3
-2.22328,0.407245,-0.605637,14
-2.67,0.490036,-0.626714,1
-5.52778,1.01553,0.294547,4
-5.55919,1.02231,0.494522,9
-5.57752,1.02769,0.696361,1
-0.546607,0.100814,-0.0682468,16
-5.58872,1.03177,0.900124,3
-0.609336,0.112494,-0.0542109,28
-5.62374,1.03925,1.11165,9
-5.64504,1.04523,1.32541,3
-2.22944,0.416422,-0.607707,6
-5.53598,1.03703,0.295175,1
-5.55951,1.04244,0.49487,2
-5.61877,1.05559,0.701967,1
-0.546251,0.102722,-0.0682468,16
-5.61614,1.05712,0.90513,1
-5.61236,1.05742,1.11013,5
-5.69497,1.07505,1.33801,1
