x,y,z,intensity
-1.43261,-4.1278,0.076267,13
-1.43944,-4.14516,0.229964,16
-1.38794,-3.9946,-0.822005,4
-1.43999,-4.14208,0.38366,13
-1.43945,-4.13818,-0.693943,15
-1.44268,-4.14516,0.538906,13
-1.43688,-4.12616,-0.536469,13
-1.44804,-4.1582,0.697385,11
-1.43895,-4.12979,-0.382614,13
-1.44706,-4.15072,0.854443,13
-1.44326,-4.13749,-0.22965,14
-1.45385,-4.16553,1.01858,16
-1.4431,-4.13473,-0.0764415,12
-1.4477,-4.14559,1.17659,13
-1.45357,-4.14378,0.076651,12
-1.45589,-4.14576,0.230278,16
-1.40448,-3.99714,-0.823532,5
-1.46369,-4.16334,0.3861,13
-1.45513,-4.13897,-0.694882,16
-1.46433,-4.16282,0.541831,13
-1.45451,-4.13261,-0.537931,13
-1.46779,-4.16802,0.699888,12
-1.46064,-4.14541,-0.384531,16
-1.46603,-4.16071,0.857496,13
-1.45896,-4.13833,-0.229964,16
-1.4696,-4.16619,1.01993,13
-1.46818,-4.15984,-0.077,12
-1.46603,-4.15144,1.1797,13
-1.47337,-4.15376,0.0769302,12
-1.4757,-4.15571,0.231116,16
-1.41773,-3.99246,-0.823532,5
-1.4835,-4.17536,0.387669,13
-1.47817,-4.15807,-0.698949,15
-1.48151,-4.16517,0.542806,13
-1.47358,-4.14059,-0.539637,15
-1.48498,-4.17032,0.701139,12
-1.48106,-4.15931,-0.386274,15
-1.48714,-4.17406,0.861312,13
-1.47742,-4.1445,-0.230592,16
-1.4861,-4.16655,1.02128,15
-1.48538,-4.16222,-0.0771396,14
-1.48895,-4.16995,1.18643,14
-1.49461,-4.16742,0.0772793,12
-1.49694,-4.16933,0.232162,17
-1.42502,-3.96901,-0.819715,4
-1.50008,-4.17578,0.388192,13
-1.50002,-4.17333,-0.702391,16
-1.50343,-4.18052,0.545487,12
-1.49005,-4.14103,-0.540369,13
-1.50087,-4.16883,0.701765,12
-1.49692,-4.15787,-0.386623,15
-1.51101,-4.1947,0.866655,13
-1.50001,-4.16187,-0.231848,16
-1.50526,-4.17417,1.02443,13
-1.50261,-4.16454,-0.0772793,14
-1.50875,-4.17926,1.19057,18
-1.51324,-4.17345,0.0774887,12
