x,y,z,intensity
-0.579314,3.41062,0.0603853,43
-0.579754,3.42045,0.181815,28
-0.579077,3.42007,0.303476,47
-0.576757,3.41362,0.42508,28
-0.49258,2.9185,-0.363414,1
-0.576362,3.41854,0.549085,30
-0.502963,2.98637,-0.264953,1
-0.574246,3.41325,0.672793,33
-0.467066,2.77916,-0.147692,5
-0.575867,3.42655,0.802175,33
-0.547602,3.26185,-0.0577326,3
-0.572888,3.41611,0.928125,34
-0.570413,3.43442,0.0607693,45
-0.567214,3.42256,0.181815,28
-0.56491,3.41234,0.302605,41
-0.563596,3.41179,0.424593,28
-0.47994,2.90853,-0.361952,1
-0.565114,3.42843,0.550336,31
-0.476477,2.89383,-0.256587,2
-0.56205,3.41727,0.673174,33
-0.45364,2.76114,-0.146645,37
-0.562989,3.42672,0.801726,35
-0.516537,3.14741,-0.0556732,76
-0.560986,3.422,0.92916,32
-0.558461,3.44044,0.0608391,42
-0.554624,3.42057,0.181606,28
-0.55749,3.44586,0.305394,43
-0.55267,3.42364,0.425812,25
-0.46156,2.85924,-0.355615,1
-0.555029,3.44208,0.552214,33
-0.459402,2.8522,-0.252752,2
-0.551366,3.42696,0.674701,33
-0.44273,2.75482,-0.146227,39
-0.551333,3.43058,0.802175,34
-0.508399,3.16696,-0.0559873,63
-0.549651,3.42775,0.930196,34
-0.548305,3.45017,0.0609787,38
-0.543593,3.42436,0.18171,26
-0.545749,3.44572,0.305219,42
-0.542862,3.43525,0.42703,28
-0.446498,2.82546,-0.351227,1
-0.542072,3.43414,0.550649,30
-0.451182,2.86158,-0.253449,1
-0.541219,3.43653,0.676227,34
-0.434835,2.76417,-0.146645,39
-0.541468,3.44202,0.804425,31
-0.496031,3.15678,-0.0557779,35
-0.540078,3.441,0.933302,34
-0.537782,3.4579,0.0610834,40
-0.532555,3.43216,0.182024,26
-0.532488,3.4357,0.304174,42
-0.532378,3.44292,0.427761,27
-0.434207,2.8113,-0.349278,1
-0.530986,3.44187,0.551588,31
-0.435009,2.81974,-0.249614,1
-0.532213,3.45383,0.67928,34
-0.427184,2.77546,-0.147169,36
-0.530043,3.44774,0.805325,31
-0.485011,3.15849,-0.0557779,48
-0.527476,3.43905,0.932266,34
-0.524509,3.45185,0.0609438,41
-0.522067,3.44387,0.182548,27
-0.520949,3.44868,0.428249,27
-0.417286,2.76569,-0.343428,2
-0.519556,3.44761,0.552214,34
-0.414771,2.75229,-0.243513,3
-0.519568,3.45178,0.678517,34
-0.416605,2.77101,-0.146855,22
-0.519451,3.4592,0.807574,33
-0.471609,3.14435,-0.0554987,52
-0.515757,3.44278,0.932784,33
-0.51363,3.46157,0.0610834,41
-0.511228,3.44954,0.182757,27
-0.412621,2.79089,0.246825,3
-0.507749,3.44262,0.427274,25
-0.403867,2.7416,-0.340259,12
-0.508697,3.45322,0.552839,33
-0.40487,2.75175,-0.243339,12
-0.508373,3.4594,0.679662,31
-0.406929,2.77245,-0.146855,11
-0.507372,3.461,0.807574,33
-0.431303,2.9421,-0.0519035,7
-0.504337,3.44447,0.932784,33
-0.503295,3.47117,0.061223,40
-0.497471,3.43944,0.182129,27
-0.403729,2.79823,0.247348,6
-0.497464,3.45215,0.428249,24
-0.395904,2.75079,-0.341234,3
-0.498325,3.46671,0.554717,31
-0.394698,2.7492,-0.24299,2
-0.496341,3.45718,0.678898,31
-0.402551,2.80739,-0.148634,6
-0.495617,3.46073,0.807124,31
-0.448781,3.13758,-0.0553241,10
-0.494222,3.4596,0.936407,35
-0.492016,3.47884,0.0613278,36
-0.487414,3.455,0.182862,26
-0.395004,2.80349,0.247697,6
-0.485962,3.4578,0.428736,24
-0.386852,2.75608,-0.341722,7
-0.484576,3.45669,0.552839,22
-0.386685,2.75839,-0.243687,10
-0.485903,3.47056,0.681188,35
-0.406301,2.9057,-0.153763,4
-0.483804,3.46437,0.807574,28
-0.441692,3.16686,-0.0558128,8
